speaker,transcript,readability,word_count,paraphrase
Donald Trump,"The Democrats are purposely keeping their schools closed, keeping their states closed. I called Michigan, I want to have a big rally in Michigan. Do you know we're not allowed to have a rally in Michigan? Do you know we're not allowed to have a rally in Minnesota? Do you know we're not allowed to have a rally in Nevada?",84.68,60,"I believe that the Democrats are intentionally keeping their schools and states closed. I attempted to organize a large rally in Michigan, but it was not permitted. Similarly, rallies are not allowed in Minnesota and Nevada."
Donald Trump,"The wall -- yes, sure I did. The wall is probably $8 billion, which is a tiny fraction of the money that we lose with Mexico. We lose a tremendous amount of trade deficits. We have a trade deficit with Mexico that is astronomical, much bigger than that. We will get -- and I say it also is also part of my plan -- Mexico is going to play for the wall.",82.85,72,"I built the wall and it cost around $8 billion, which is a small amount compared to the significant trade deficits we have with Mexico. The trade deficit with Mexico is huge and I believe Mexico will pay for the wall as part of my plan to address the imbalance in trade."
Donald Trump,"Despite that, I think I've done more than any president in history. If you look at the things we have done, with the tax cuts, and all of the things that we've done, including hopefully now two Supreme Court justices, we'll have more judges put on than any other president other than one. Do you know who the one is? George Washington.",75.84,62,"Despite this, I believe that I have accomplished more than any other president in history. With the tax cuts and all the other things we have achieved, including hopefully appointing two Supreme Court justices, we will have more judges appointed than any president except for one. Do you know who that one president is? It's George Washington."
Donald Trump,"Yeah. I've known Bill Bradley. I'm the largest employer in the state of New Jersey, or just about. I would say that Bill Bradley is so liberal in his tendencies, in his leanings, his real tendencies and his real leanings that he's almost Marxist.",81.93,44,"I have known Bill Bradley, and I am one of the largest employers in the state of New Jersey. I would describe myself as a very liberal individual, to the point where some might say I have Marxist leanings."
Donald Trump,"But Mueller said he did lie, so they took a man who's a General and a respected person and a nice man -- and I don't even know what he said about me, because maybe they scared him enough that he'll make up a story, but I have a feeling that maybe he's a tougher kind of guy than Cohen, but they took a General that they said didn't lie and they convinced him he did lie and he made some kind of a deal.",20.06,85,"I believe that Mueller stated that the individual in question did lie, so they took a man who is a General and is well-respected, a good person, and forced him to admit to something he didn't do. I'm not aware of what was said about me, but perhaps they intimidated him to the point that he made up a story. However, I have a feeling that this General is a stronger person than Cohen and was able to resist their pressure, but they still convinced him that he had lied and he made some kind of deal with them."
Donald Trump,"For the inner cities more than anybody because the inner cities are being hurt by crime. You know, it's interesting. When you look at Chicago and you look at the tremendous number. They've had 2,800 shootings since the beginning of the year. People have been hit by bullets. That's like -- that's worse than worse.",87.72,55,"I am deeply concerned about the well-being of inner cities, as they have been disproportionately affected by crime. You know, recently, I was reading that Chicago has had over 2,800 shootings this year, which is an alarming number. The fact that people have been injured or even hit by bullets is simply unacceptable."
Donald Trump,"Well, let me tell you, it is funny though, my guys called me up, and they called me like a month ago, and I listen to the show but they call me. They said, you've got to do something, you're friend of Howard, you've got to get us that fight.",88.4,50,"A month ago, I received a call from some friends of mine who were listening to a show. They asked me to help them get a particular fight. As a friend of Howard, they thought I could make it happen.oute"
Donald Trump,"We can't afford this anymore. The world is ripping us off. I think the biggest single problem that we have is that the world, from a business standpoint, is ripping us off. We're like patsies. We're like the big bully that gets beat up. The world is taking advantage of the United States. Countries like Colombia made $4 billion last year against the United States.",87.42,65,"I can no longer afford this. The world is taking advantage of us. I believe that the biggest single issue we face is that the world is exploiting us from a business standpoint. We are like an easy target, like the bully who gets beaten up. Other countries, such as Colombia, made a significant profit of $4 billion last year at our expense."
Donald Trump,So nobody ever deducts all the people that have already lost their health insurance that liked it. You had millions of people that liked their health insurance and their healthcare and their doctor and where they went. You had millions of people that now aren't insured anymore.,72.46,47,"I want to ensure that no one is penalized for losing their health insurance, especially those who were satisfied with their previous coverage. A large number of people had insurance plans they liked, as well as their doctors and hospitals, but now they are no longer covered."
Donald Trump,"Fairness, fairness is, you know, part of the word. But you know, I've had stories that are written that are absolutely incorrect. I'll tell you now and the word ""intent"", as you know, is an important word, as you know, in libel. I'll give you an example. Some of the media, not all of it, but some of it, is very, very strong on – you know I get these massive crowds of people, and we'll get protesters. And these protesters are honestly, they're very bad people. In many cases, they're professionals. Highly trained professionals. And I will rent an arena for 20,000 seats and they will come in – because there's really no way – how you going to be able to tell – somebody said ""oh you shouldn't let 'em in"" – how you gonna know, you know? They walk in. [Inaudible] So we had an incident this weekend, which was amazing in Tucson, Arizona where a man, a protestor, wearing a Ku Klux Klan outfit, another one dragging an American flag, was walking out of the arena, and an African American man who was a supporter was sitting there listening to the speech and we had to stop because they were so loud – they're so loud, these people, I don't know what they do, they're trained voices or something. And they're walking up and you saw it, because it was all over television, and the African American man became incensed I think the guy said something to him like you know what, like ""screw you,"" okay? Or worse. I think, because he looked over to him and said something to him and the guy just had it. Now, they were together, these two. The one wearing a Ku Klux Klan, the other dragging a flag or something, but the African American man, who I think was an Air Force person, I just read he had a pretty stellar life so far. And he just became incensed. So when I saw the television yesterday early in the morning I saw the Ku Klux Klan, I saw exactly what happened. By the time it got on to the national shows that was for the most part taken out. They just had this African American smacking, you know, fighting. And it didn't make sense, you know, why, why. But if you saw it in the morning it made a lot more sense. We don't condone violence at all but it's very, very unfair reporting and we, you know…",77.77,419,"Fairness is important to me. I have had stories written about me that were incorrect. The word ""intent"" is important in libel cases. For example, some media outlets have reported on my rallies with inaccurate information. Some protesters are professionals who are trained to cause trouble. I had an incident in Tucson, Arizona, where a protestor in a Ku Klux Klan outfit and another protestor dragging an American flag were removed from my rally. An African American supporter became incensed when the protestor said something to him and a fight broke out. The media only showed the African American supporter and did not show the protestor in the Ku Klux Klan outfit. This was unfair reporting and I do not condone violence, but it is important to show the full story."
Donald Trump,"But the biggest beneficiary is going to be Social Security, which we saved, and the middle income person and worker, which -- I mean, the taxes are going to go down by at least by at least $100 billion a year.",47.8,41,"I believe that the biggest winner will be Social Security, which we were able to save, and middle-income individuals and workers, for whom taxes will decrease by at least $100 billion per year."
Donald Trump,"It is a very serious -- this isn’t time for games. And, you know, people say, gee, he’s -- comes across as a little bit rough or a little bit direct. I don’t have time not to be. I really don’t have much time not to be. We have to get things done. And we’re getting them done like no president has ever -- despite the obstruction, because they are obstructers.",85.39,71,"I take this matter very seriously and there is no time for games. Some people may view me as being rough or direct, but I don't have the luxury of time to be anything else. We need to get things done and we're making progress faster than any previous president, despite the obstacles that we face due to the obstructionist tactics of others."
Donald Trump,I don't know what is going to happen. I know that some outside distractions have taken place which have changed that race. That's going to be an interesting race. I really don't know and I don't know her. I have never met her. It's going to be a very interesting election. But you know some outside things have happened that maybe will change the course of that race.This is an abridged transcript that has been edited for clarity.,86.91,78,"I am unsure of what will happen in the upcoming race. Recently, there have been some distractions from outside sources that have affected the outcome of the race. It will be an intriguing competition and I am unfamiliar with the opposing candidate. I have never met them before. The election will be interesting, but there have been outside factors that may alter the outcome of the race."
Donald Trump,"So much of their lifeblood comes through China, that's the way it comes through. They have tremendous power over North Korea, but China doesn't say that. China says well we'll try. I can see them saying, ""We'll try, we'll try."" And I can see them laughing in the room next door when they're together. So China should be talking to North Korea. But China's tweaking us. China's toying with us. They are when they're building in the South China Sea. They should not be doing that but they have no respect for our country and they have no respect for our president. So, and the other one, and this is an opportunity passed because why would Iran go back and renegotiate it having to do with North Korea?But Iran is the No. 1 trading partner, but we should have had something in that document that was signed having to do with North Korea as the No. 1 trading partner and as somebody with a certain power because of that. A very substantial power over North Korea.",84.98,176,"I think that China has a lot of influence over North Korea, and this is something that I see as a problem. They have the power to control a lot of the lifeblood of North Korea and they are not using this power in the way that I think they should. I believe that China should be talking to North Korea and working to resolve the issues that they have, but instead, I think they are just playing games with us. They are building in the South China Sea, which they should not be doing, and they have no respect for our country or our president.

Another issue that I see is that Iran is North Korea's number one trading partner, and we should have had some sort of agreement in the document that was signed to address this. I think it would have been beneficial to have something in the document to acknowledge Iran's power over North Korea, as they have a very substantial influence."
Donald Trump,"I'm all in favor of NATO. I said NATO is obsolete. I was asked a question by one of your competitors and I said NATO is obsolete, because it's not taking care of terror. You understand that. And it turned out I was right. A lot of people gave me credit for that.",87.92,53,"I believe in the importance of NATO and I have stated that it is outdated. During an interview with one of your competitors, I expressed my opinion that NATO is ineffective in addressing terrorism. This view was validated when it was revealed that NATO was not adequately addressing the issue of terrorism. As a result, many people have praised my perspective on this matter."
Donald Trump,"Look, I didn't give him anything. Gave him nothing except sanctions. We have very heavy sanctions on North Korea. We actually put some more on yesterday because we'd like it to move faster. But we have a good relationship. But I didn't give him anything.",80.78,45,"I did not provide North Korea with anything. All I gave them were sanctions. In fact, we imposed additional sanctions on them yesterday because we want them to move faster. However, we have a good relationship with them. But I did not provide them with anything."
Donald Trump,"It's really good stuff. It's better, less expensive, goes up faster, but it's actually better than what they were doing before. So we are going to have it done and we are in great shape. We got a great support from the Republicans, both in Congress, if you look at our congressmen and women and from the Senate.",73.68,58,"I think the product is excellent and it is a better, more cost-effective option that performs faster. It is actually better than what we were previously using. We have support from both Republicans in Congress and the Senate, and our representatives have been very positive about it."
Donald Trump,"So, we have a humanitarian crisis, to put it mildly. People are trying to get in by the tens of thousands. They're rushing the border, there's right now in Honduras -- a country we pay a lot of money to, I think foolishly because they don't help us. But right now, you have another caravan forming, and it's going to be the biggest one yet.",72.16,65,"I must admit, we are currently facing a dire humanitarian situation. The number of individuals attempting to enter the country has reached tens of thousands. They are making a rush to the border, and right now, a new caravan is forming in Honduras, which is a country we provide financial aid to, although I believe it is misguided because they do not offer us the support we need. The situation is only going to get worse, as this new caravan is expected to be the largest one yet."
Donald Trump,"Well, I'm very proud of what we've done in Michigan. Before we mention USMCA, because it's disgraceful that Nancy Pelosi -- I think she's grossly incompetent. It's been sitting on her desk for months, and you know at some point, Mexico and Canada are going to say, like, you know, what's going on over here?",78.59,55,"I'm quite proud of what we've accomplished in Michigan. I believe it's unacceptable that Nancy Pelosi has not acted on the USMCA agreement, which has been sitting on her desk for months. At some point, Mexico and Canada will likely question what is taking so long."
Donald Trump,"I mean, honestly, they -- the ads were coming at me. Hundreds of millions of dollars' worth of negative ads. And when people went into the voter booth, they didn't know what she stood for. I always said that. I said if I can take this onslaught personally, it's going to be a great thing because nobody knew what she stood for. So now, they're trying to change their message a little bit, you know. I mean, it's -- it's one of those things, but now they're trying to change their message and we'll see what happens.",83.05,97,"I was confronted with a massive amount of negative advertising, worth hundreds of millions of dollars, that made it difficult for people to understand what she stood for. I always believed that if I could handle this kind of attack personally, it would be a great sign. Unfortunately, they are now trying to alter their message to suit their needs, but we will see how it plays out."
Donald Trump,"I, or I guess I probably wouldn't have... This is a big investment. Don't forget. I bought it perhaps for the right price, but I'm gonna spend tremendous amounts of money on making Trump International Golf Links and Hotel one of the great destinations of the world. And it's gonna bring tourism, and it's gonna bring jobs.",82.34,57,"I believe that investing in the Trump International Golf Links and Hotel would be a wise decision. Although it may require a significant financial investment, the potential benefits, such as increased tourism and job opportunities, make it worthwhile. I am confident that I can make this project a success and turn it into one of the world's top destinations."
Donald Trump,"So, it's all Democrat states, it's all Democrat cities, every one of 'em. These are thugs, the Antifa's no good, and, you know, the governors, Democrats, they have to ask us to come in, we went into Minneapolis and solved the problem in half an hour, we just...",72.5,48,"I believe that all of the states and cities in question are controlled by Democrats, and that the Antifa groups are comprised of thugs. The governors, who are also Democrats, have requested our assistance in resolving these issues, and we have been successful in doing so in Minneapolis within a matter of half an hour. We were able to effectively address the problem by simply..."
Donald Trump,"First of all, I have to say we have to negotiate renegotiate trade agreement. Yes an afternoon. These trade agreements are just sucking the jobs right out of our country in Virginia and every other place and they're just taking our jobs. So we have to renegotiate trade agreements and if we can't make the right deal, we're going to end it and will I want to be free. Trade -- I'm a hundred percent free trade. But these deals are horrible.. What's going on now, they want to do TPP, Trans-Pacific Partnership, which is going to be another disaster. All standard equipment All standard, and that will have something goes from the gold standard to then she heard me talking about it and now she goes against it. But if she ever once you'd sign it in a heartbeat, she'd sign it in a minute we're going to be substantially cutting taxes not only for the middle class but for business. We'Re bringing it down from thirty five percent to fifteen percent, and that will be such an unbelievable because our businesses that are leaving this country because taxes are too well, they can't compete. It can't compete. They can't compete massive regulation cutting another problem. You know one of the things that surprised me most in going around meeting big business owners, small business owners if they had their choice between the tax cut and the regulation cut, they would take the regulation. That's how bad regulation is. It must, as a half a trillion to the drain, Alico its know much more than that more than theirs, so massive, the amount of money that our that this country, not even forget the money, the jobs, the businesses that we lose because of regulation and our businesses Can'T compete well, why do they keep our? They are so opposed to this. It looks like it's common sense. Huh, it's almost become an industry regulations become an Indian. I mean one of the things that we have anywhere from three to five trillion dollars offshore outside of the country and companies that we have here can't get the money back. They can't bring it back because of bureaucracy and because of the high tax and it's billions, and it's really trillions of dollars. It's at least it's probably at least three could be five.",69.31,395,"First and foremost, I believe that it is crucial to renegotiate trade agreements. These agreements have been detrimental to our country, taking away jobs and businesses. If we can't achieve a favorable deal, then we should end the agreement. I am a strong advocate for free trade, but these deals are not beneficial to our country. The Trans-Pacific Partnership, for example, would be another disaster if we were to sign onto it. Our current tax rate of 35% is too high and needs to be reduced to 15%. This would help our businesses compete globally. Additionally, the regulations imposed on businesses are excessive and need to be cut. The amount of money and jobs lost due to regulations is significant. Our businesses can't compete with the regulations, and the money is kept offshore due to bureaucracy and high taxes. The amount of money kept outside of the country is estimated to be between three to five trillion dollars, and it's a significant loss for our country."
Donald Trump,"Well, I told you that I'm going to be making a decision sometime prior to June. And I am going to New Hampshire and I'm going to Iowa. And I love the people in those two places because they're workers. They don't play games, they're workers. They're great, great people. And I think I'm going to do great there.",86.91,59,"I mentioned that I will be making a decision before June, and I'm planning on visiting New Hampshire and Iowa. The people in those places are hardworking, and Anyway, I love the people in those two states because they are hardworking and genuine. I think I will perform well there."
Donald Trump,"I think President Bush has to go into a corner and hide if a republican is going to get elected. There's no way he's an asset. He's a huge liability, and he's going to have to do a big, big hiding act if a republican's going to win.",72.16,48,"If I were to be completely honest, I believe that former President Bush would need to retreat to a secluded corner and hide if a Republican is to have a chance at winning the election. He is not an asset to our party, but rather a significant liability. It would be necessary for him to conceal himself effectively if we hope to secure a victory with a Republican candidate."
Donald Trump,"I mean, what's an ally? We have wonderful relationships with a lot of people. But nobody treats us much worse than the European Union. The European Union was formed in order to take advantage of us on trade, and that's what they've done.",85.89,43,"When I say ""ally,"" I'm referring to the strong relationships we have with many people. However, no one has treated us worse than the European Union. The EU was created with the intention of exploiting us in trade, and that's exactly what they've done."
Donald Trump,"You go to places now like China where they're building many George Washington Bridges. We think the George Washington Bridge is like a little bridge compared to the things they are doing. And they are doing it with our money. You know, if we have to cutoff China, China would go into the worst depression of any country in the history of the world.",80.62,64,"I have visited countries like China where they are constructing many George Washington Bridges. To be honest, the George Washington Bridge seems small compared to the infrastructure projects they are undertaking. And they are doing it using our money. The thought crosses my mind that if we were to cut off ties with China, it would lead to the worst economic depression in the history of any country."
Donald Trump,"But what we've done there is incredible. But you look at Honduras, Guatemala, all of these different places. We have cities that are worse -- in some cases, far worse. Take a look at Detroit. Take a look at what's happening in Oakland. Take a look at what's happening in Baltimore. And everyone gets upset when I say it. They say, ""Oh, is that a racist statement?"" It's not a racist.",88.94,71,"I think it's remarkable what we've accomplished. But when I look at other places like Honduras, Guatemala, and the cities of Detroit, Oakland, and Baltimore, I see that some of them are much worse off than others. It's unfortunate that some people get upset when I mention this, but I don't mean it in a racist way. It's just a fact."
Donald Trump,"For individuals. We are bringing it down to zero in some cases. If it's a family it's below $24,000, anything below 24,000 is zero. And look, as I just said, it is the biggest tax cut in the history of our country.",74.19,42,"For individuals, we are reducing their taxes to zero in some cases if their annual income is below $24,000. Our tax cut is the largest in the history of our country."
Donald Trump,"So where you have to wait days -- one of those little problems in life but it's not actually a bad thing. And we also have health care that we are working on. And we are working on other things and one of the things I said that I'm going to try very hard to get done during my term and I will get it done is the Johnson Amendment for evangelicals, for Christians, for everybody of faith where we are going to try and end and terminate the Johnson Amendment which is a disaster for religion, in my opinion.",63.36,100,"In my opinion, waiting days for something to happen is a small problem that is not necessarily bad. We are also working on improving healthcare and other issues. One of the things I have promised to accomplish during my term is getting rid of the Johnson Amendment, which I believe is detrimental to religion and faith."
Donald Trump,"Well, a lot of people like indexing and it's a short-term boost, but it makes life very, very complicated for people. You have to go out and get appraisers every time you do something, every time you bring -- you know, a lot of people do like it. A lot of Republicans like it. It is a complex process for people.",81.63,61,"I think that a lot of people find enjoyment in indexing, and it can provide a temporary boost, but it creates a lot of complications in the long run. In order to make any changes or updates, you have to get an appraiser involved, which can be a hassle. A lot of people, including Republicans, seem to appreciate the process, but it can be overwhelming for others."
Donald Trump,"The Republicans, it's not quite as clear as to what's going to happen as of this moment and certainly Chris has not made any indication that he would be running. He's going to be running for governor. He's going to do very well on that race, I believe. I think that should be an easy race for him but -- [Crosstalk]",81.63,61,"As of now, it's not entirely clear what will happen with the Republicans, although I believe Chris will do well in his race for governor. I think that should be an easy win for him."
Donald Trump,"...excuse me. It's really shutting down the government, it's cutting costs. The kind of money that you're talking about is peanuts. And I think the tea party has done an amazing service for this country because people now, even very liberal Democrats, are starting to think for the first time, well, maybe we can't just keep giving everything away.",68.4,59,"I believe that shutting down the government and cutting costs is a necessary measure to reduce spending. The amount of money being discussed is relatively insignificant compared to the larger picture. I think the tea party has done a great service to the country by encouraging people to start thinking more fiscally responsible, even those who are liberal Democrats."
Donald Trump,"That's just common sense. And it's terrible. It's a terrible thing. People wanna go to the poll or they wanna do a solicited ballot where they request a ballot, and they make a request, and they sign something, and it comes back, and they do it that way. But sending out millions of unsolicited ballots are, it's unacceptable.",76.62,58,"I believe that it is common sense that people should have the option to vote through a solicited ballot, where they request a ballot and sign something to receive it, rather than receiving an unsolicited ballot that is mailed to them. It is unacceptable to send out millions of unsolicited ballots."
Donald Trump,"Right. Well, in Syria, we are getting very close. I think it's becoming a humanitarian situation, and a lot of people are going to move back to Syria from Turkey and from Jordan and from different places, they're going to move back, less so from Europe. But they will be moving back from lots of different places.",69.11,57,"I believe that the situation in Syria is becoming increasingly dire, to the point where it is now considered a humanitarian issue. Many people who have been living in neighboring countries, such as Turkey and Jordan, are planning to return to Syria. While some Europeans may also be among those returning, it is likely that more people will come from other regions."
Donald Trump,"It's a whole hoax. So I would not mind at all saying who it is, but it's very small -- when you look at vast properties like I have and they're big and they're beautiful and they're well located. When you look at that, the amount of money, $400 million is a peanut. It's extremely under levered and it's levered with normal banks, not a big deal.",88.57,67,"I don't think it's a big deal to reveal who it is because it's not significant. The property I have is large and well-located, and the amount of money involved is small compared to what I have. It's only $400 million, which is a small amount for me, and it's not leveraged with big banks, just normal ones."
Donald Trump,"It's an amazing thing, so that plays into also, and 5G plays into it and many things play into it. Look, you know, this is -- you know, to the credible -- you know, if you're like me, if you love deals, it's the ultimate. It's sort of like -- it's a lot of fun, but I'm doing -- I'm having fun for a different reason.",84.3,66,"I find it incredible and that plays a role in it, and 5G plays a role in it and many things play a role in it. To be honest, if you're like me, and you love making deals, it's the ultimate. It's a lot of fun, but I'm enjoying it for a different reason."
Donald Trump,"Well, first of all, we came to a wonderful agreement. It's a shame that the fake news covers it the way they do. Honestly, it's almost treasonous, if you want to know the truth, because we signed an agreement and the big thing that they'd said was I met, okay? You know, there was nothing else they could say. I met. Well, let me tell you we got our hostages back, we get the remains back of our great heroes that have died, thousands and thousands of young people, we get the remains back and you have no idea how many people came up to me and said ""Could you get the remains of my father?"" It was so sad.",85.02,120,"I am pleased to say that we reached an agreement that I believe is wonderful. However, I am disappointed that the news coverage of the agreement has been inaccurate and misleading. In my opinion, it is almost treasonous for them to distort the facts in this way because we signed an agreement and the media had reported extensively that I had met with the leader of the country in question. The agreement was successful in terms of getting our hostages back and the remains of our fallen heroes who had died in the conflict. I was moved by the number of people who approached me and asked for the return of the remains of their loved ones. It was a very emotional experience."
Donald Trump,"So, um, my health is really good. You know, I had COVID. And I recovered very quickly, and I think really through the therapies that we developed over the last, you know, we've done a great job with this. But, but I've done a terrible job of public relations because, or, or I have a press that just won't allow it to be, you understand that, you understand that better than anybody, uh, but we've done a great job.",76.76,79,"I'm glad to say that my health is in good shape. I had COVID and I recovered quickly thanks to the therapies we developed. I think we've done a great job with those therapies. However, I've been doing a terrible job of getting the word out about it. I understand that better than anyone, and I know you do too. But despite that, we've still done a great job."
Donald Trump,"No, I but I think... I do say this: my media coverage is not honest. It really isn't. And I'm not saying that as a person with some kind of a complex. I'm just saying, I will be saying words that are written totally differently from what I've said. And I see it all – in all fairness, the editorial board of The Washington Post. I was killed on that. I left the room, I thought it was [fine?].",86.91,79,"I believe that my media coverage is not truthful. I don't think it's an exaggeration to say that. I've seen it happen too many times, where my words are twisted and taken out of context to fit a certain narrative. It's not just about me having a complex, it's about recognizing that the media is not always going to present the full picture. In fact, I've seen it with my own eyes, even with The Washington Post's editorial board. They didn't exactly present my viewpoint in a fair light, and I left the meeting feeling frustrated."
Donald Trump,"But that's awfully tough to do. It depends. It depends on the decisions the politicians are going to be making. And, honestly, lately I think they've done some pretty good things. I think it was important that they saved AIG, and I also think they made a great deal, because they got 80 percent of a great company.",82.14,58,"It's difficult to do. The outcome depends on the decisions that politicians will make. To be honest, I think they've been making some good decisions lately. For example, I think it was important for them to save AIG, and I also think they got a good deal because they received 80 percent of a great company."
Donald Trump,"It's going up faster. The Army Corps of Engineers is doing a great job working with us and we have some real professionals, and the military has been incredible, putting up the barbed wire, essentially, it's barbed wire. It's actually barb wire plus. But it's incredible what they have done. You have seen it. I mean, you know, many, many miles of wire.",77.74,63,"I have noticed that the construction is progressing at a faster pace. The Army Corps of Engineers has been working hard with us and we have some truly skilled professionals working on this project. Additionally, the military has done an incredible job in putting up the barbed wire fencing. It's not just regular barbed wire, but it's an advanced version of it and they have done a lot of it. You can see the progress for yourself, it's quite impressive."
Donald Trump,"That's wrong. Robert and I have a great relationship. We're very close. He never quit. Robert and I have a great relationship. Robert was involved with the casinos for a while. He worked with me, and worked for me, and worked with me, and he did a really good job. I have a fantastic relationship with my brother. He never quit. Nothing. We always have had a fantastic -- and to this day we have a fantastic relationship.",79.67,78,"I have a great relationship with Robert. We're very close and he never quit. We've always had a fantastic relationship, and that continues to this day. Robert and I have a great relationship. He was involved with the casinos for a while and worked with me, for me, and did a really good job."
Donald Trump,"But I said, and I liked him, but I said that was really nice. He said, in a group of people, ""You will go down as one of the great presidents in the history of our country."" And then I watched him on television and I said, ""Is that the same man that said that to me?""",86.03,57,"I was impressed by him and I said so, but I also found his remark to be quite flattering. Later, when I saw him on TV, I couldn't help but wonder if he was the same person who had made that positive comment to me."
Donald Trump,"You look at Florida, the Senate race between Republican Rick Scott and Democrat Ron DeSantis. We won. Look at the governor of Georgia, where Oprah, President Obama, and Mrs. Obama campaigned; they staked out there and they campaigned. I went there for Brian Kemp, and we won. Look at Ohio, the governor of Ohio, how important is Ohio?",76.62,58,"I looked at the Florida Senate race between Republican Rick Scott and Democrat Ron DeSantis, and it appeared that we won. I also examined the governor's race in Georgia, where Oprah, President Obama, and Mrs. Obama campaigned for the Democratic candidate. Despite their efforts, we were still able to win with Brian Kemp. Additionally, I considered the governor's race in Ohio, which is a crucial state in politics."
Donald Trump,"But when it comes to the Vice-President, we want somebody that can really be a great President, number one. Always. But somebody that can also help us get to the goal, so that you don't have another four years of losses. And there are some great people out there. I mean, Republicans have some great people out there, and I think we're going to have a tremendous success.",79.6,68,"When it comes to the Vice-President, I believe it's important to choose someone who has the potential to be a great President, but also someone who can help us achieve our goals and prevent further losses. There are some great individuals within the Republican party, and I believe we will have significant success with them."
Donald Trump,"What happened is they follow the book in the success of the book and the book was I guess one of the biggest selling books, literally of the decade of the last 10 years. And the Milton Bradley Company came to me they saw me. There, a group of very talented people and they said we really want to do this game.",75.84,62,"I had written a successful book that sold well over the past decade. The Milton Bradley Company saw the potential in the book and wanted to create a game based on it. They approached me, recognizing the talent of the people involved in the project."
Donald Trump,"With Chief Dorn, so I spoke to his wife. She was devastated. Sounds just like a great woman. But did you see all the people that went that funeral? It was incredible. So the people get it. But whatever it is, you'll have to explain this one to me. It wasn't covered. This was an African-American top guy many years on the force.",89.75,63,"I had the opportunity to speak with Chief Dorn's wife after his passing. She was deeply upset. From what I understand, she was a remarkable woman. The turnout at his funeral was remarkable as well, with many people in attendance. It's clear that the community respected and appreciated him. However, I'm not sure I understand the full context of the situation. It wasn't mentioned in the coverage I've seen, but Chief Dorn was a highly respected African-American figure in law enforcement for many years."
Donald Trump,"Worst business decision? Well, I've made some business decisions where markets changed, but in virtually every case, I was able to take those decisions and make them good, and take those jobs and make them good, which I think is a great test. I mean, I've had buildings going up and the market crashes, which is not my fault, and I go back and I negotiate with the banks, and I negotiate tough and I negotiate hard, and I've taken some jobs that were, that could have been disastrous and made them better than if the market had stayed the same. So I don't know, I view business, I view that question as something you have to learn from it, and you can never make a decision that's going to take you down. In other words, you're not going to do something that if it doesn't work out, because the best businessmen in the world, I know all of them, the best businessmen in the world have had difficult times, and they've had bad deals.",61.33,175,"I have made some business decisions where the market changed, but in most cases, I was able to turn those decisions around and make them successful. I have also had buildings under construction when the market crashed, which was not my fault. In those situations, I worked hard to negotiate with the banks and was able to turn those projects around and make them even more successful than they would have been if the market had stayed the same. I believe that you have to learn from your mistakes in business and that you can never make a decision that will completely take you down. Even the best businesspeople in the world have had difficult times and made bad deals."
Donald Trump,"Well, because they cover things that are, that should not be covered. And they seem to like to cover anything I say. They try and dissect the words, and CNN in particular has been incredible in their, you know, they're trying so hard to get ratings, and it's not working. But they'll take something that is a totally, a totally fine statement, and they'll make it look like oh, gee, let's analyze it. They'll analyze it 77 different ways. In the end, it's fine, and they go onto their next story. And yet a story like you just mentioned, they don't cover it. It's incredible.",81.63,105,"I believe that certain news outlets, such as CNN, have been covering things that should not be covered, and they seem to enjoy analyzing everything I say. They try to dissect my words and the way they report things can be overanalyzed. For example, they take a statement that is completely fine and analyze it in 77 different ways. However, when it comes to other important stories, they fail to cover them. It's quite incredible."
Donald Trump,"But - but I like it in concrete. To me - I like - I actually like it in the concrete, so the other looks sort of ridiculous to me. And there's a rough space, so, we have - we have that. And it started off, and we came in in Iowa second, a close second, got no credit for it, and Marco got a lot of credit for coming in third.",88.06,72,"I prefer the concrete. In fact, I find it appealing. The other option appears silly to me. There is a noticeable gap between the two, and we have that. Initially, we came in second in Iowa, just behind the leader, but we didn't receive any recognition for it. Instead, Marco was given credit for finishing third."
Donald Trump,"-- all of the things, the V.A. was taken care like 91 percent approval, all of the things I did -- I ran a country and we ran it great. We've done more than any other president. Then I have to campaign. We had the greatest campaign in history. We had the biggest crowds anyone's ever had. I did 56 rallies where the number of people were incredible.",87.31,68,"During my time in office, I made sure that the Veterans Affairs (V.A.) were taken care of with a 91% approval rating. I oversaw the country and we did more than any other president. However, I still had to campaign. Our campaign was historical and had the biggest crowds anyone has ever had. I held 56 rallies where the number of people were incredible."
Donald Trump,"Maybe sometimes markets change and maybe we went to them and told them we're going to use junk bonds because what happened is junk bonds became a very normal way of financing. And when I made that statement -- I don't know when the statement was made. I don't remember making it actually. But when I made that statement, if it was made at all, probably junk bonds were not a good method of financing. But over a period of time they became a very, very standard method of financing.",78.79,90,"I may have made a statement at some point in the past about using junk bonds as a method of financing. However, I can't remember if I actually made this statement. But if I did make it, it's possible that junk bonds were not a reliable method of financing at the time. However, over time, junk bonds became a widely accepted and standard method of financing."
Donald Trump,"Thank goodness it was transcribed perfectly. But, you know, that was -- that was -- and I guess we won with the Republican Party, 197 to nothing in the House, and they did that -- you know -- they did that. So, I heard yesterday if I do it -- if I do it they're going to impeach me. So they're impeaching me for doing what constitutionally I have to do.",80.11,71,"I was relieved that the transcript was accurate. However, the situation with the Republican Party was not ideal. They voted 197-0 against me in the House. I heard that if I take the same action again, they will impeach me. It seems they are trying to impeach me for following the constitution."
